ItemType	Name (EN)	Description (EN)
Armour	Shaved	
Armour	Receding	
Armour	Short	
Armour	Swept Back	
Armour	Ponytail	
Armour	Wild	
Armour	Parted Center	
Armour	Semi-Long	
Armour	Curly	
Armour	Bobbed	
Armour	Male 11	
Armour	Male 12	
Armour	Male 13	
Armour	Male 14	
Armour	Male 15	
Armour	Male 16	
Armour	Male 17	
Armour	Male 18	
Armour	Male 19	
Armour	Male 20	
Armour	Shaved	
Armour	Very Short	
Armour	Wave	
Armour	Straight A	
Armour	Straight B	
Armour	Ponytail A	
Armour	Ponytail B	
Armour	Pigtails	
Armour	Bun	
Armour	Braided	
Armour	Female 11	
Armour	Female 12	
Armour	Female 13	
Armour	Female 14	
Armour	Female 15	
Armour	Female 16	
Armour	Female 17	
Armour	Female 18	
Armour	Female 19	
Armour	Female 20	
Armour	Travel Hairstyle	
Armour	Catarina Helm	"Distinctively shaped helm worn by the Knights of Catarina.\nOutside Catarina, it is often ridiculed for its onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying."
Armour	Catarina Armor	"Distinctively shaped armor worn by the Knights of Catarina.\nOutside Catarina, it is often ridiculed for its onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying."
Armour	Catarina Gauntlets	"Distinctively shaped gauntlets worn by the Knights of Catarina.\nOutside Catarina, they are often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying."
Armour	Catarina Leggings	"Distinctively shaped leggings worn by the Knights of Catarina.\nOutside Catarina, they are often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying."
Armour	Paladin Helm	"Helm of Leeroy, Paladin of the Catacombs.\nLong ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White."
Armour	Paladin Armor	"Armor of Leeroy, Paladin of the Catacombs.\nLong ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White."
Armour	Paladin Gauntlets	"Gauntlets of Leeroy, Paladin of the Catacombs.\nLong ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White."
Armour	Paladin Leggings	"Leggings of Leeroy, Paladin of the Catacombs.\nLong ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White."
Armour	Dark Mask	"Mask of the Darkwraiths, former knights of New Londo who descended into Dark.\nSome say the skeletal mask of an ancient Darkwraith is partially fused with the flesh of its face."
Armour	Dark Armor	"Armor of the Darkwraiths, former knights of New Londo who descended into Dark.\nTheir armor transformed, and remains a symbol of the Dark servants and their diabolical art of Lifedrain."
Armour	Dark Gauntlets	"Gauntlets of the Darkwraiths, former knights of New Londo who descended into Dark.\nTheir gauntlets transformed, and remain symbol of the Dark servants and their diabolical art of Lifedrain."
Armour	Dark Leggings	"Leggings of the Darkwraiths, former knights of New Londo who descended into Dark.\nTheir leggings transformed, and remain a symbol of the Dark servants and their diabolical art of Lifedrain."
Armour	Brigand Hood	"Hood worn by the brigands who raid mountain hamlets and attack travelers.\nIn addition to protecting against the blazing sun, dust, and sand, it helps them tell friend from foe in the heat of battle."
Armour	Brigand Armor	Armor worn by the brigands who raid mountain hamlets and attack travelers.\nThe addition of metal over a base of cloth and leather offers good mobility and defense.
