Name	Type	Connection	Named Entity	Entity Type
Catarina Helm	Armour	connected to	Knights of Catarina.\nOutside Catarina	ORG
Catarina Armor	Armour	connected to	Knights of Catarina.\nOutside Catarina	ORG
Catarina Gauntlets	Armour	connected to	Knights of Catarina.\nOutside Catarina	ORG
Catarina Leggings	Armour	connected to	Knights of Catarina.\nOutside Catarina	ORG
Paladin Helm	Armour	connected to	Helm	PERSON
Paladin Helm	Armour	connected to	Leeroy	PERSON
Paladin Helm	Armour	connected to	Paladin	PERSON
Paladin Helm	Armour	connected to	the Way of White	PRODUCT
Paladin Helm	Armour	connected to	first	ORDINAL
Paladin Helm	Armour	connected to	Grant	PERSON
Paladin Helm	Armour	connected to	Sanctus	ORG
Paladin Helm	Armour	connected to	Leeroy	PERSON
Paladin Helm	Armour	connected to	first	ORDINAL
Paladin Helm	Armour	connected to	the Way of White	ORG
Paladin Armor	Armour	connected to	Leeroy	PERSON
Paladin Armor	Armour	connected to	Paladin	PERSON
Paladin Armor	Armour	connected to	the Way of White	PRODUCT
Paladin Armor	Armour	connected to	first	ORDINAL
Paladin Armor	Armour	connected to	Grant	PERSON
Paladin Armor	Armour	connected to	Sanctus	ORG
Paladin Armor	Armour	connected to	Leeroy	PERSON
Paladin Armor	Armour	connected to	first	ORDINAL
Paladin Armor	Armour	connected to	the Way of White	ORG
Paladin Gauntlets	Armour	connected to	Leeroy	PERSON
Paladin Gauntlets	Armour	connected to	Paladin	PERSON
Paladin Gauntlets	Armour	connected to	the Way of White	PRODUCT
Paladin Gauntlets	Armour	connected to	first	ORDINAL
Paladin Gauntlets	Armour	connected to	Grant	PERSON
Paladin Gauntlets	Armour	connected to	Sanctus	ORG
Paladin Gauntlets	Armour	connected to	Leeroy	PERSON
Paladin Gauntlets	Armour	connected to	first	ORDINAL
Paladin Gauntlets	Armour	connected to	the Way of White	ORG
Paladin Leggings	Armour	connected to	Leeroy	PERSON
Paladin Leggings	Armour	connected to	Paladin	PERSON
Paladin Leggings	Armour	connected to	the Way of White	PRODUCT
Paladin Leggings	Armour	connected to	first	ORDINAL
Paladin Leggings	Armour	connected to	Grant	PERSON
Paladin Leggings	Armour	connected to	Sanctus	ORG
Paladin Leggings	Armour	connected to	Leeroy	PERSON
Paladin Leggings	Armour	connected to	first	ORDINAL
Paladin Leggings	Armour	connected to	the Way of White	ORG
Dark Mask	Armour	connected to	Darkwraiths	PERSON
Dark Mask	Armour	connected to	New Londo	GPE
Dark Mask	Armour	connected to	Dark.\nSome	PRODUCT
Dark Mask	Armour	connected to	Darkwraith	ORG
Dark Armor	Armour	connected to	Darkwraiths	PERSON
Dark Armor	Armour	connected to	New Londo	GPE
Dark Armor	Armour	connected to	Dark.\nTheir	ORG
Dark Armor	Armour	connected to	Lifedrain	FAC
Dark Gauntlets	Armour	connected to	Darkwraiths	PERSON
Dark Gauntlets	Armour	connected to	New Londo	GPE
Dark Gauntlets	Armour	connected to	Dark.\nTheir	ORG
Dark Gauntlets	Armour	connected to	Lifedrain	FAC
Dark Leggings	Armour	connected to	Darkwraiths	PERSON
Dark Leggings	Armour	connected to	New Londo	GPE
Dark Leggings	Armour	connected to	Dark.\nTheir leggings	ORG
Dark Leggings	Armour	connected to	Lifedrain	FAC
Brigand Hood	Armour	connected to	Hood	PERSON
Brigand Hood	Armour	connected to	travelers.\nIn	GPE
Shadow Mask	Armour	connected to	Eastern	NORP
Shadow Mask	Armour	connected to	arts.\nWhile	ORG
Shadow Garb	Armour	connected to	Eastern	NORP
Shadow Garb	Armour	connected to	arts.\nWhile	ORG
Shadow Gauntlets	Armour	connected to	Eastern	NORP
Shadow Gauntlets	Armour	connected to	arts.\nWhile	ORG
Shadow Leggings	Armour	connected to	Eastern	NORP
Shadow Leggings	Armour	connected to	arts.\nWhile	ORG
Black Iron Helm	Armour	connected to	Black Iron Tarkus	ORG
Black Iron Helm	Armour	connected to	Tarkus	PERSON
Black Iron Armor	Armour	connected to	Armor of Black Iron Tarkus	ORG
Black Iron Armor	Armour	connected to	Tarkus	PERSON
Black Iron Gauntlets	Armour	connected to	Black Iron Tarkus	ORG
Black Iron Gauntlets	Armour	connected to	Tarkus	PERSON
Black Iron Leggings	Armour	connected to	Leggings of Black Iron Tarkus	ORG
Black Iron Leggings	Armour	connected to	Tarkus	PERSON
Smough's Helm	Armour	connected to	Helm	PERSON
Smough's Helm	Armour	connected to	Smough	GPE
Smough's Helm	Armour	connected to	Anor Londo	GPE
Smough's Armor	Armour	connected to	Anor Londo	GPE
Smough's Gauntlets	Armour	connected to	Smough	GPE
Smough's Gauntlets	Armour	connected to	Anor Londo	GPE
Smough's Leggings	Armour	connected to	Leggings of Smough	ORG
Smough's Leggings	Armour	connected to	Anor Londo	GPE
Six-Eyed Helm of the Channelers	Armour	connected to	Helm	PERSON
Six-Eyed Helm of the Channelers	Armour	connected to	Channelers	GPE
Six-Eyed Helm of the Channelers	Armour	connected to	Seath the Scaleless	FAC
Six-Eyed Helm of the Channelers	Armour	connected to	six	CARDINAL
Six-Eyed Helm of the Channelers	Armour	connected to	two	CARDINAL
Robe of the Channelers	Armour	connected to	Robe	PERSON
Robe of the Channelers	Armour	connected to	Channelers	GPE
Robe of the Channelers	Armour	connected to	Seath the Scaleless	FAC
Robe of the Channelers	Armour	connected to	"\snatchers,\""as"	DATE
Robe of the Channelers	Armour	connected to	specimens.\nThe	NORP
Gauntlets of the Channelers	Armour	connected to	Channelers	GPE
Gauntlets of the Channelers	Armour	connected to	Seath the Scaleless	FAC
Gauntlets of the Channelers	Armour	connected to	"\snatchers,\""as"	DATE
