ID,ItemType,SubType,Set,Name (EN),Name (JP),Name (Tr),Description (EN),Description (JP),Description (Tr),Summary (EN),Summary (JP),Summary (Tr)
1000,Armour,Hairstyle,Male,Shaved,丸坊主,Close-cropped head,,,,,,
1100,Armour,Hairstyle,Male,Receding,Ｍスポット,M spot,,,,,,
1200,Armour,Hairstyle,Male,Short,ショート,short,,,,,,
1300,Armour,Hairstyle,Male,Swept Back,オールバック,all back,,,,,,
1400,Armour,Hairstyle,Male,Ponytail,テール,Tail,,,,,,
1500,Armour,Hairstyle,Male,Wild,乱れ長髪,Disturbance long hair,,,,,,
1600,Armour,Hairstyle,Male,Parted Center,センターパート,Center Part,,,,,,
1700,Armour,Hairstyle,Male,Semi-Long,セミロング,semi-long,,,,,,
1800,Armour,Hairstyle,Male,Curly,巻き毛,Curly hair,,,,,,
1900,Armour,Hairstyle,Male,Bobbed,おかっぱ,Bobbed,,,,,,
2000,Armour,Hairstyle,Male IDs,Male 11,男性11,Men 11,,,,,,
2100,Armour,Hairstyle,Male IDs,Male 12,男性12,Men 12,,,,,,
2200,Armour,Hairstyle,Male IDs,Male 13,男性13,Men 13,,,,,,
2300,Armour,Hairstyle,Male IDs,Male 14,男性14,Men 14,,,,,,
2400,Armour,Hairstyle,Male IDs,Male 15,男性15,Men 15,,,,,,
2500,Armour,Hairstyle,Male IDs,Male 16,男性16,Men 16,,,,,,
2600,Armour,Hairstyle,Male IDs,Male 17,男性17,Men 17,,,,,,
2700,Armour,Hairstyle,Male IDs,Male 18,男性18,Male 18,,,,,,
2800,Armour,Hairstyle,Male IDs,Male 19,男性19,Male 19,,,,,,
2900,Armour,Hairstyle,Male IDs,Male 20,男性20,Male 20,,,,,,
3000,Armour,Hairstyle,Female,Shaved,丸坊主,Close-cropped head,,,,,,
3100,Armour,Hairstyle,Female,Very Short,ベリーショート,Berry Short,,,,,,
3200,Armour,Hairstyle,Female,Wave,ウェーブ,Wave,,,,,,
3300,Armour,Hairstyle,Female,Straight A,ストレートＡ,Straight A,,,,,,
3400,Armour,Hairstyle,Female,Straight B,ストレートＢ,Straight B,,,,,,
3500,Armour,Hairstyle,Female,Ponytail A,テールＡ,Tail A,,,,,,
3600,Armour,Hairstyle,Female,Ponytail B,テールＢ,Tail B,,,,,,
3700,Armour,Hairstyle,Female,Pigtails,ツインテール,Twin tails,,,,,,
3800,Armour,Hairstyle,Female,Bun,シニヨン,Chignon,,,,,,
3900,Armour,Hairstyle,Female,Braided,編み込み,Braid,,,,,,
4000,Armour,Hairstyle,Female IDs,Female 11,女性11,Women 11,,,,,,
4100,Armour,Hairstyle,Female IDs,Female 12,女性12,Women 12,,,,,,
4200,Armour,Hairstyle,Female IDs,Female 13,女性13,Women 13,,,,,,
4300,Armour,Hairstyle,Female IDs,Female 14,女性14,Women 14,,,,,,
4400,Armour,Hairstyle,Female IDs,Female 15,女性15,Women 15,,,,,,
4500,Armour,Hairstyle,Female IDs,Female 16,女性16,Women 16,,,,,,
4600,Armour,Hairstyle,Female IDs,Female 17,女性17,Women 17,,,,,,
4700,Armour,Hairstyle,Female IDs,Female 18,女性18,Female 18,,,,,,
4800,Armour,Hairstyle,Female IDs,Female 19,女性19,Female 19,,,,,,
4900,Armour,Hairstyle,Female IDs,Female 20,女性20,Female 20,,,,,,
5000,Armour,Hairstyle,,Travel Hairstyle,徘徊髪型,Loitering hairstyle,,,,,,
10000,Armour,Head,Catarina,Catarina Helm,カタリナヘルム,Catalina Helm,"Distinctively shaped helm worn by the Knights of Catarina.\nOutside Catarina, it is often ridiculed for its onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying.",独特の形状をしたカタリナ騎士たちの兜\n他国からは玉ねぎなどと揶揄されることもあり 名誉あるカタリナ騎士たちを憤慨させるが 高い技術で形成された凸曲面は 物理攻撃に対して高い受け流し効果を持つ,High parry effect on even there prestigious convex curved but is resented formed with high technology Catalina knights physical attacks be derided such as onions from helmet \ n countries Catalina knights that the unique shape have,,,
11000,Armour,Body,Catarina,Catarina Armor,カタリナアーマー,Catalina Armor,"Distinctively shaped armor worn by the Knights of Catarina.\nOutside Catarina, it is often ridiculed for its onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying.",独特の形状をしたカタリナ騎士たちの鎧\n他国からは玉ねぎなどと揶揄されることもあり 名誉あるカタリナ騎士たちを憤慨させるが 高い技術で形成された凸曲面は 物理攻撃に対して高い受け流し効果を持つ,High parry effect on even there prestigious convex curved but is resented formed with high technology Catalina knights physical attacks be derided such as onions from Armor \ n countries Catalina knights that the unique shape have,,,
12000,Armour,Hands,Catarina,Catarina Gauntlets,カタリナガントレット,Catalina Gauntlet,"Distinctively shaped gauntlets worn by the Knights of Catarina.\nOutside Catarina, they are often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying.",独特の形状をしたカタリナ騎士たちの手甲\n他国からは玉ねぎなどと揶揄されることもあり 名誉あるカタリナ騎士たちを憤慨させるが 高い技術で形成された凸曲面は 物理攻撃に対して高い受け流し効果を持つ,High parry effect on even there prestigious convex curved but is resented formed with high technology Catalina knights physical attacks be derided such as onions from hand-back \ n countries Catalina knights that the unique shape have,,,
13000,Armour,Legs,Catarina,Catarina Leggings,カタリナレギンス,Catalina leggings,"Distinctively shaped leggings worn by the Knights of Catarina.\nOutside Catarina, they are often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying.",独特の形状をしたカタリナ騎士たちの足甲\n他国からは玉ねぎなどと揶揄されることもあり 名誉あるカタリナ騎士たちを憤慨させるが 高い技術で形成された凸曲面は 物理攻撃に対して高い受け流し効果を持つ,"Convex surface but is resented Catalina knights formed in high technology from the instep \ n countries Catalina knights that the unique shape, which is also located honor be derided such as onions parried higher than the physical attack have an effect",,,
20000,Armour,Head,Paladin,Paladin Helm,聖騎士の兜,Helmet of the Holy Knight,"Helm of Leeroy, Paladin of the Catacombs.\nLong ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White.",地下墓地の聖騎士、リロイの兜\nはるか昔、白教に最初に生まれた不死は 黄金の鎧に身を包む聖騎士だったという\n聖騎士は二つの宝具、グラントとサンクトゥスを携え 神々の地ロードランの探索に旅立った 白教の不死の使命のはじまりである,"Bring Holy Knights of the underground cemetery, Leroy of the helmet \ n long ago, \ n Holy Knight that is first born immortality to the white church was the Holy Knight adorned in golden armor is two treasure tool, the grant and the Sanctus there at the beginning of the mission of the white Christian immortal traveled to explore the land of the gods Rodoran",,,
21000,Armour,Body,Paladin,Paladin Armor,聖騎士の鎧,Armor of the Holy Knight,"Armor of Leeroy, Paladin of the Catacombs.\nLong ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White.",地下墓地の聖騎士、リロイの鎧\nはるか昔、白教に最初に生まれた不死は 黄金の鎧に身を包む聖騎士だったという\n聖騎士は二つの宝具、グラントとサンクトゥスを携え 神々の地ロードランの探索に旅立った 白教の不死の使命のはじまりである,"Bring Holy Knights of the underground cemetery, Leroy of armor \ n long ago, \ n Holy Knight that is first born immortality to the white church was the Holy Knight adorned in golden armor is two treasure tool, the grant and the Sanctus there at the beginning of the mission of the white Christian immortal traveled to explore the land of the gods Rodoran",,,
22000,Armour,Hands,Paladin,Paladin Gauntlets,聖騎士の手甲,Hand-back of Holy Knight,"Gauntlets of Leeroy, Paladin of the Catacombs.\nLong ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White.",地下墓地の聖騎士、リロイの手甲\nはるか昔、白教に最初に生まれた不死は 黄金の鎧に身を包む聖騎士だったという\n聖騎士は二つの宝具、グラントとサンクトゥスを携え 神々の地ロードランの探索に旅立った 白教の不死の使命のはじまりである,"Bring Holy Knights of the underground cemetery, hand-back \ n much old Leroy, \ n Holy Knight that is first born immortality to the white church was the Holy Knight adorned in golden armor is two treasure tool, the grant and the Sanctus there at the beginning of the mission of the white Christian immortal traveled to explore the land of the gods Rodoran",,,
